base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_3.geojson,1.105,0.321357,0.634292
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_5Fcarto.geojson,0.568561,0.327621,0.715674
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_flow_based.geojson,0.572212,0.322748,0.715898
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_6.geojson,0.497137,0.323411,0.614074
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_5Fcarto.geojson,0.537369,0.333974,0.600901
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_flow_based.geojson,0.533862,0.337455,0.600416
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_3.geojson,0.467524,0.276904,0.567949
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_5Fcarto.geojson,0.507366,0.297328,0.590858
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_flow_based.geojson,0.509831,0.28824,0.591689
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_9.geojson,1.03478,0.260419,0.742187
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_5Fcarto.geojson,0.324789,0.224979,0.495371
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_flow_based.geojson,0.325166,0.225305,0.495801
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_9.geojson,1.09225,0.343246,0.648286
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_5Fcarto.geojson,0.645735,0.39712,0.72722
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_flow_based.geojson,0.653165,0.346991,0.727625
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_9.geojson,1.21976,0.371376,0.60425
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_5Fcarto.geojson,0.954804,0.440639,0.910517
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_flow_based.geojson,0.963565,0.429683,0.914435
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_2.geojson,0.572354,0.278643,0.58779
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_5Fcarto.geojson,0.439739,0.205271,0.332505
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_flow_based.geojson,0.239016,0.191118,0.290399
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_9.geojson,1.65616,0.369428,0.893482
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_5Fcarto.geojson,3.82863,0.617274,0.836145
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_flow_based.geojson,4.01257,0.787061,0.89104
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_4.geojson,0.747133,0.381392,0.818128
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_5Fcarto.geojson,0.662712,0.376421,0.809359
switzerland_gdp_in_billion_chf_by_canton_2019_input.geojson,switzerland_gdp_in_billion_chf_by_canton_2019_flow_based.geojson,0.661518,0.375312,0.80927
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5.geojson,0.563425,0.342717,0.750791
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_5Fcarto.geojson,0.503685,0.334098,0.698772
switzerland_population_by_canton_2016_input.geojson,switzerland_population_by_canton_2016_flow_based.geojson,0.503628,0.333981,0.698451
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_3.geojson,0.485412,0.314075,0.631226
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_5Fcarto.geojson,0.612875,0.3589,0.712063
tunisia_population_by_governate_2014_input.geojson,tunisia_population_by_governate_2014_flow_based.geojson,0.613405,0.361497,0.711854
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_9.geojson,1.25575,0.385988,0.592976
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_5Fcarto.geojson,1.01985,0.510124,0.84057
usa_population_by_county_2021_input.geojson,usa_population_by_county_2021_flow_based.geojson,1.05153,0.568139,0.811082
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_9.geojson,1.06532,0.309613,0.690867
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_5Fcarto.geojson,0.621641,0.328485,0.623774
usa_population_by_state_2020_input.geojson,usa_population_by_state_2020_flow_based.geojson,0.618001,0.325773,0.627544
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_2.geojson,1.01929,0.264671,0.710648
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_5Fcarto.geojson,0.419329,0.280809,0.595588
vietnam_population_by_province_2019_input.geojson,vietnam_population_by_province_2019_flow_based.geojson,0.422337,0.276296,0.596126
world_population_by_country_2010_input.geojson,world_population_by_country_2010_9.geojson,1.20708,0.384596,0.622137
world_population_by_country_2010_input.geojson,world_population_by_country_2010_5Fcarto.geojson,0.902971,0.462036,0.788702
world_population_by_country_2010_input.geojson,world_population_by_country_2010_flow_based.geojson,0.939238,0.441779,0.802926
