round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
62, 1.085490, 0.467458, 0.024025, 0.148542, 0.094133, 0.123463, 17.124949, 0.000000, 0.9002 Second
63, 0.124873, 0.269548, 0.003401, 0.055201, 0.038824, 0.034562, 4.229975, 0.000000, 0.8619 Second
64, 0.230302, 0.130496, 0.002387, 0.048928, 0.038874, 0.040497, 4.654403, 0.000000, 0.8808 Second
65, 0.079196, 0.140113, 0.000773, 0.027186, 0.017703, 0.020878, 3.481091, 0.000000, 0.8913 Second
66, 0.099478, 0.080028, 0.000450, 0.021236, 0.015533, 0.017154, 2.823409, 0.000000, 0.8896 Second
67, 0.113294, 0.092462, 0.000486, 0.022080, 0.014071, 0.014336, 2.809687, 0.000000, 0.9357 Second
68, 0.048486, 0.163922, 0.000875, 0.028470, 0.016709, 0.014989, 3.743892, 0.000000, 0.9811 Second
69, 0.266520, 0.101747, 0.001529, 0.040330, 0.025854, 0.027240, 6.111674, 0.000000, 1.0022 Second
70, 0.059968, 0.212255, 0.001782, 0.040289, 0.027724, 0.024647, 4.181540, 0.000000, 1.0202 Second
71, 0.397425, 0.107330, 0.002652, 0.054184, 0.033732, 0.039005, 8.970889, 0.000000, 1.0017 Second
72, 0.043353, 0.102106, 0.000634, 0.024687, 0.018048, 0.017838, 3.905896, 0.000000, 1.0099 Second
73, 0.061189, 0.040737, 0.000142, 0.011947, 0.007924, 0.007373, 1.439062, 0.000000, 1.0407 Second
74, 0.022899, 0.067670, 0.000136, 0.011527, 0.007217, 0.006765, 1.932743, 0.000000, 1.0331 Second
75, 0.030080, 0.020176, 0.000043, 0.006596, 0.005051, 0.004564, 1.050000, 0.000000, 1.0707 Second
76, 0.013626, 0.014566, 0.000019, 0.004318, 0.003714, 0.003103, 1.050000, 0.000000, 1.0968 Second
77, 0.012386, 0.013364, 0.000016, 0.004049, 0.003517, 0.002943, 1.050000, 0.000000, 1.1997 Second
78, 0.011752, 0.013456, 0.000015, 0.003922, 0.003410, 0.002841, 1.050000, 0.000000, 1.1590 Second
79, 0.011226, 0.013502, 0.000015, 0.003808, 0.003309, 0.002746, 1.050000, 0.000000, 1.1777 Second
80, 0.010718, 0.013595, 0.000014, 0.003724, 0.003231, 0.002671, 1.050000, 0.000000, 1.2253 Second
81, 0.010287, 0.013717, 0.000013, 0.003662, 0.003167, 0.002611, 1.050000, 0.000000, 1.2426 Second
82, 0.009898, 0.013838, 0.000013, 0.003611, 0.003111, 0.002557, 1.050000, 0.000000, 1.2935 Second
83, 0.009542, 0.013973, 0.000013, 0.003568, 0.003060, 0.002508, 1.050000, 0.000000, 1.2849 Second
84, 0.009208, 0.014115, 0.000013, 0.003533, 0.003014, 0.002462, 1.050000, 0.000000, 1.3095 Second
85, 0.008223, 0.013911, 0.000012, 0.003448, 0.002939, 0.002402, 1.050000, 0.000000, 1.3523 Second
86, 0.007475, 0.013435, 0.000011, 0.003352, 0.002854, 0.002334, 1.050000, 0.000000, 1.3625 Second
87, 0.007218, 0.013039, 0.000011, 0.003271, 0.002778, 0.002271, 1.050000, 0.000000, 1.3906 Second
88, 0.007109, 0.012711, 0.000010, 0.003191, 0.002700, 0.002205, 1.050000, 0.000000, 1.4077 Second
89, 0.006980, 0.012442, 0.000010, 0.003118, 0.002626, 0.002140, 1.050000, 0.000000, 1.4634 Second
90, 0.006841, 0.012223, 0.000009, 0.003051, 0.002555, 0.002076, 1.050000, 0.000000, 1.4788 Second
91, 0.006698, 0.012049, 0.000009, 0.002990, 0.002490, 0.002018, 1.050000, 0.000000, 1.5210 Second
92, 0.006558, 0.011902, 0.000009, 0.002935, 0.002428, 0.001962, 1.050000, 0.000000, 1.5295 Second
93, 0.006422, 0.011763, 0.000008, 0.002889, 0.002380, 0.001921, 1.050000, 0.000000, 1.5653 Second
94, 0.006303, 0.011634, 0.000008, 0.002846, 0.002337, 0.001883, 1.050000, 0.000000, 1.6492 Second
95, 0.006199, 0.011515, 0.000008, 0.002809, 0.002298, 0.001849, 1.050000, 0.000000, 1.6583 Second
96, 0.006097, 0.011383, 0.000008, 0.002766, 0.002258, 0.001814, 1.050000, 0.000000, 1.7029 Second
97, 0.006010, 0.011273, 0.000007, 0.002729, 0.002223, 0.001783, 1.050000, 0.000000, 1.7540 Second
98, 0.005933, 0.011173, 0.000007, 0.002695, 0.002191, 0.001755, 1.050000, 0.000000, 1.7017 Second
99, 0.005865, 0.011081, 0.000007, 0.002664, 0.002161, 0.001728, 1.050000, 0.000000, 1.7465 Second
100, 0.005804, 0.010493, 0.000007, 0.002584, 0.002089, 0.001674
Enlarge: 6.000000, Shrink: 9.000000, treeDepth: 6, minTreeDepth: 6
 
