base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_3.geojson,1.105,0.321357,0.634292
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_5Fcarto.geojson,0.587769,0.326171,0.731264
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_flow_based.geojson,0.592795,0.322861,0.732534
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_6.geojson,0.497137,0.323411,0.614074
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_5Fcarto.geojson,0.549001,0.350054,0.628724
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_flow_based.geojson,0.547241,0.347163,0.62815
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_3.geojson,0.467524,0.276904,0.567949
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_5Fcarto.geojson,0.511035,0.306438,0.599497
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_flow_based.geojson,0.514011,0.298494,0.598628
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_9.geojson,1.03478,0.260419,0.742187
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_5Fcarto.geojson,0.328375,0.226385,0.50252
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_flow_based.geojson,0.328828,0.226661,0.503044
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_9.geojson,1.09225,0.343246,0.648286
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_5Fcarto.geojson,0.723876,0.42888,0.781216
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_flow_based.geojson,0.749593,0.394328,0.804959
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_9.geojson,1.21976,0.371376,0.60425
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_5Fcarto.geojson,0.958877,0.440465,0.925769
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_flow_based.geojson,0.971168,0.431785,0.916238
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_2.geojson,0.572354,0.278643,0.58779
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_5Fcarto.geojson,0.45102,0.214037,0.345883
simplified_belgium_population_by_region_2022_input.geojson,simplified_belgium_population_by_region_2022_flow_based.geojson,0.248317,0.200984,0.301986
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_9.geojson,1.65616,0.369428,0.893482
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_5Fcarto.geojson,3.57707,0.704696,0.793645
singapore_population_by_planning_area_2015_input.geojson,singapore_population_by_planning_area_2015_flow_based.geojson,9.30907,5.32641,0.864306
