Map,self-intersections,overlap intersections,algorithm
NUTS_population_by_country_2021,0,123,f4carto
NUTS_population_by_region_2020,0,375,f4carto
algeria_population_by_wilaya_2022,0,212,f4carto
australia_population_by_state_and_territory_2021,0,8,f4carto
austria_population_by_state_2020,0,46,f4carto
bahamas_population_by_district_2010,0,7,f4carto
belgium_population_by_region_2022,0,8,f4carto
brazil_population_by_state_2021,0,79,f4carto
china_population_by_province_2020,0,260,f4carto
concentric_circles,0,13,f4carto
conterminous_usa_population_by_state_2020,0,96,f4carto
croatia_covid_cases_by_county_2022,0,42,f4carto
croatia_population_by_county_2021,0,110,f4carto
csv_ne50_antimeridian_minus169_brewer_pop,0,95,f4carto
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,0,93,f4carto
egypt_population_by_governate_2017,0,621,f4carto
england_population_by_region_2022,0,15,f4carto
france_population_by_metropolitan_region_2008,0,35,f4carto
germany_population_by_state_2011,0,135,f4carto
indonesia_population_by_province_2024,0,41,f4carto
japan_population_by_prefecture_2020,0,24,f4carto
malaysia_population_by_state_2020,0,35,f4carto
metropolitan_france_population_by_departement_2022,0,138,f4carto
russia_population_by_federal_subject_2010,0,389,f4carto
simplified_belgium_population_by_region_2022,0,13,f4carto
singapore_population_by_planning_area_2015,0,483,f4carto
switzerland_gdp_in_billion_chf_by_canton_2019,0,91,f4carto
switzerland_population_by_canton_2016,0,137,f4carto
tunisia_population_by_governate_2014,0,37,f4carto
usa_population_by_county_2021,0,3434,f4carto
usa_population_by_state_2020,0,227,f4carto
vietnam_population_by_province_2019,0,27,f4carto
world_population_by_country_2010,0,118,f4carto
