Group,F4Carto_self-intersections,5FCarto_self-intersections,flow_based_self-intersections,F4Carto_overlap intersections,5FCarto_overlap intersections,flow_based_overlap intersections
Group 1,0.0,0.0,0.625,37.875,0.0,0.75
Group 2,0.0,0.0,0.0,81.75,0.0,0.0
Group 3,0.0,0.0,41.625,202.625,0.0,91.75
Group 4,0.0,0.0,111.125,622.0,0.0,286.0
