map_name,self-intersections,overlap intersections
NUTS_population_by_country_2021_5FCarto.geojson,0,0
NUTS_population_by_region_2020_5FCarto.geojson,0,0
algeria_population_by_wilaya_2022_5FCarto.geojson,0,0
australia_population_by_state_and_territory_2021_5FCarto.geojson,0,0
austria_population_by_state_2020_5FCarto.geojson,0,0
bahamas_population_by_district_2010_5FCarto.geojson,0,0
belgium_population_by_region_2022_5FCarto.geojson,0,0
brazil_population_by_state_2021_5FCarto.geojson,0,0
china_population_by_province_2020_5FCarto.geojson,0,0
concentric_circles_5FCarto.geojson,0,0
conterminous_usa_population_by_state_2020_5FCarto.geojson,0,0
croatia_covid_cases_by_county_2022_5FCarto.geojson,0,0
croatia_population_by_county_2021_5FCarto.geojson,0,0
csv_ne50_antimeridian_minus169_brewer_pop_5FCarto.geojson,0,0
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop_5FCarto.geojson,0,0
egypt_population_by_governate_2017_5FCarto.geojson,0,0
england_population_by_region_2022_5FCarto.geojson,0,0
france_population_by_metropolitan_region_2008_5FCarto.geojson,0,0
germany_population_by_state_2011_5FCarto.geojson,0,0
indonesia_population_by_province_2024_5FCarto.geojson,0,0
japan_population_by_prefecture_2020_5FCarto.geojson,0,0
malaysia_population_by_state_2020_5FCarto.geojson,0,0
metropolitan_france_population_by_departement_2022_5FCarto.geojson,0,0
russia_population_by_federal_subject_2010_5FCarto.geojson,0,0
simplified_belgium_population_by_region_2022_5FCarto.geojson,0,0
singapore_population_by_planning_area_2015_5FCarto.geojson,0,0
switzerland_gdp_in_billion_chf_by_canton_2019_5FCarto.geojson,0,0
switzerland_population_by_canton_2016_5FCarto.geojson,0,0
tunisia_population_by_governate_2014_5FCarto.geojson,0,0
usa_population_by_county_2021_5FCarto.geojson,0,0
usa_population_by_state_2020_5FCarto.geojson,0,0
vietnam_population_by_province_2019_5FCarto.geojson,0,0
world_population_by_country_2010_5FCarto.geojson,0,0
