round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
53, 15.345146, 0.999285, 9.818740, 0.282690, 0.153961, 0.024757, 2.450165, 0.000000, 0.6536 Second
54, 14.476757, 0.999270, 9.667240, 0.281805, 0.152884, 0.024235, 2.013053, 0.000000, 0.7281 Second
55, 14.611850, 0.999251, 9.476094, 0.280673, 0.152349, 0.024269, 2.319435, 0.000000, 0.6145 Second
56, 12.519352, 0.999234, 9.310603, 0.278371, 0.151001, 0.023784, 2.408287, 0.000000, 0.6157 Second
57, 12.042771, 0.999216, 9.152999, 0.275428, 0.147723, 0.024263, 2.345662, 0.000000, 0.6575 Second
58, 10.693314, 0.999199, 9.008804, 0.273188, 0.146806, 0.024966, 3.347830, 0.000000, 0.6961 Second
59, 10.106504, 0.999184, 8.881031, 0.270338, 0.143696, 0.022373, 1.735616, 0.000000, 0.6674 Second
60, 10.078375, 0.999159, 8.674989, 0.267966, 0.140090, 0.021705, 3.044095, 0.000000, 0.6786 Second
61, 10.071425, 0.999144, 8.572212, 0.266607, 0.139307, 0.022021, 3.167123, 0.000000, 0.6913 Second
62, 10.069615, 0.999128, 8.460628, 0.265387, 0.138458, 0.022204, 1.555057, 0.000000, 0.7496 Second
63, 9.601463, 0.999095, 8.244820, 0.263758, 0.137738, 0.021417, 2.377648, 0.000000, 0.6883 Second
64, 9.681002, 0.999072, 8.118079, 0.261720, 0.136118, 0.021776, 2.519290, 0.000000, 0.7468 Second
65, 9.378877, 0.999050, 8.011805, 0.259629, 0.135325, 0.021421, 3.398959, 0.000000, 0.7252 Second
66, 9.375184, 0.999033, 7.902233, 0.258683, 0.134526, 0.021415, 3.486031, 0.000000, 0.7260 Second
67, 9.151498, 0.999016, 7.822332, 0.257865, 0.133951, 0.021295, 2.117102, 0.000000, 0.7387 Second
68, 9.144329, 0.998988, 7.649750, 0.257021, 0.133556, 0.021627, 2.332480, 0.000000, 0.7346 Second
69, 9.166303, 0.998961, 7.556806, 0.255839, 0.132989, 0.022074, 2.590181, 0.000000, 0.7218 Second
70, 9.204665, 0.998935, 7.419807, 0.254798, 0.132613, 0.022270, 3.930850, 0.000000, 0.7646 Second
71, 9.252115, 0.998917, 7.361011, 0.253811, 0.132474, 0.022370, 1.768030, 0.000000, 0.8133 Second
72, 8.894539, 0.998876, 7.195673, 0.252938, 0.132173, 0.021990, 5.768045, 0.000000, 0.7684 Second
73, 8.702244, 0.998863, 7.147278, 0.252143, 0.131526, 0.021936, 5.666127, 0.000000, 0.7820 Second
74, 8.561751, 0.998850, 7.094385, 0.251877, 0.131458, 0.021993, 5.151086, 0.000000, 0.7686 Second
75, 7.742236, 0.998835, 7.040659, 0.251208, 0.131185, 0.021855, 5.647563, 0.000000, 0.7934 Second
76, 7.296095, 0.998821, 6.986835, 0.250846, 0.130982, 0.021795, 1.549080, 0.000000, 0.7954 Second
77, 7.324485, 0.998768, 6.810893, 0.250010, 0.130065, 0.020840, 2.165949, 0.000000, 0.7805 Second
78, 7.342072, 0.998728, 6.677929, 0.248491, 0.128540, 0.021298, 1.908114, 0.000000, 0.8374 Second
79, 7.343215, 0.998680, 6.558270, 0.248461, 0.129201, 0.021036, 1.860847, 0.000000, 0.8267 Second
80, 7.344154, 0.998628, 6.367423, 0.246478, 0.128107, 0.022388, 3.245995, 0.000000, 0.8139 Second
81, 7.349127, 0.998596, 6.270387, 0.244088, 0.124974, 0.019891, 3.471654, 0.000000, 0.8163 Second
82, 7.342667, 0.998565, 6.207083, 0.243472, 0.124820, 0.020175, 4.235022, 0.000000, 0.8350 Second
83, 7.339210, 0.998540, 6.150625, 0.243288, 0.124840, 0.020446, 4.142317, 0.000000, 0.8404 Second
84, 7.336490, 0.998512, 6.084725, 0.243264, 0.125075, 0.020813, 2.658161, 0.000000, 0.8714 Second
85, 7.333709, 0.998468, 5.990517, 0.243140, 0.125499, 0.021360, 1.930180, 0.000000, 0.8637 Second
86, 7.325244, 0.998405, 5.886254, 0.242388, 0.125231, 0.020721, 2.750258, 0.000000, 0.8796 Second
87, 7.317965, 0.998358, 5.802246, 0.242010, 0.124274, 0.020469, 2.183875, 0.000000, 0.8733 Second
88, 7.305965, 0.998297, 5.702079, 0.241858, 0.125338, 0.021324, 3.635755, 0.000000, 0.8709 Second
89, 7.306451, 0.998257, 5.635463, 0.241462, 0.124685, 0.021185, 3.694878, 0.000000, 0.8925 Second
90, 7.301288, 0.998217, 5.570589, 0.241167, 0.124780, 0.021631, 2.867558, 0.000000, 0.9202 Second
91, 7.296454, 0.998163, 5.491337, 0.241031, 0.125187, 0.021656, 3.066628, 0.000000, 0.9166 Second
92, 7.295414, 0.998110, 5.404601, 0.240758, 0.124613, 0.021436, 2.519975, 0.000000, 0.9140 Second
