NAME_LATN,Target Area
Bulgaria,6916548.000000
Schweiz/Suisse/Svizzera,8670300.000000
Shqipëria,2829741.000000
Česko,10701777.000000
Belgique/België,11554767.000000
Österreich,8932664.000000
Deutschland,83155031.000000
Kýpros,896007.000000
Danmark,5840045.000000
Eesti,1330068.000000
Elláda,10678632.000000
España,47398695.000000
Suomi/Finland,5533793.000000
Hrvatska,4036355.000000
Magyarország,9730772.000000
France,67656682.000000
Éire/Ireland,5006324.000000
Ísland,368792.000000
Nederland,17475415.000000
Norge,5391369.000000
Italia,59236213.000000
Liechtenstein,39055.000000
Lietuva,2795680.000000
Luxembourg,634730.000000
Latvija,1893223.000000
Crna Gora,620739.000000
Severna Makedonija,2068808.000000
Malta,516100.000000
Portugal,10298252.000000
România,19201662.000000
Serbia,6871547.000000
Sverige,47398695.000000
Türkiye,83614362.000000
United Kingdom,67025542.000000
Polska,37840001.000000
Slovenija,2108977.000000
Slovensko,5459781.000000
