NUTS_NAME,Target Area
Veri,813758.000000
Qender,1170142.000000
Oberfranken,1067482.000000
Southern,1624381.000000
Budapest,1752286.000000
Βόρειο Αιγαίο,221098.000000
Puglia,3975528.000000
Basilicata,558587.000000
Calabria,1912021.000000
Sicilia,4908548.000000
Midi-Pyrénées,3071427.000000
Lincolnshire,756920.000000
Norra Mellansverige,855220.000000
Pest,1278874.000000
Közép-Dunántúl,1058236.000000
Κεντρική Μακεδονία,1873777.000000
Schwaben,1887754.000000
Berlin,3644826.000000
"Aydın, Denizli, Muğla",1370432.000000
Östra Mellansverige,1708813.000000
Nyugat-Dunántúl,989343.000000
Dél-Dunántúl,879596.000000
Thüringen,2143145.000000
Hovedstaden,1835562.000000
"Balıkesir, Çanakkale",1767237.000000
Abruzzo,1300645.000000
"Manisa, Afyonkarahisar, Kütahya, Uşak",3100666.000000
Pohjois- ja Itä-Suomi,1284638.000000
Nord-Pas de Calais,486450.000000
"Adana, Mersin",4034593.000000
Dolnośląskie,2865072.000000
Opolskie,946038.000000
"Bursa, Eskişehir, Bilecik",4089156.000000
"Kocaeli, Sakarya, Düzce, Bolu, Yalova",3878979.000000
Andalucía,599723.000000
Región de Murcia,1487663.000000
Ciudad de Ceuta,83517.000000
Espace Mittelland,1877154.000000
Nordwestschweiz,1161105.000000
Zürich,1520968.000000
Ostschweiz,1176321.000000
Zentralschweiz,813056.000000
Syddanmark,1223348.000000
Galicia,2700441.000000
Ciudad de Melilla,84689.000000
Picardie,1929189.000000
Alsace,1903646.000000
Salzburg,555221.000000
Tirol,754705.000000
Vorarlberg,394297.000000
Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,1226329.000000
Prov. Antwerpen,1860470.000000
Prov. Limburg (BE),875842.000000
Prov. Oost-Vlaanderen,1516283.000000
"Zonguldak, Karabük, Bartın",1046711.000000
"Kastamonu, Çankırı, Sinop",819468.000000
"Samsun, Tokat, Çorum, Amasya",2822353.000000
Ticino,353343.000000
Κύπρος,875899.000000
Praha,1308632.000000
"Hatay, Kahramanmaraş, Osmaniye",3289122.000000
"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",1603688.000000
Střední Čechy,1369332.000000
Jihozápad,1226805.000000
Στερεά Ελλάδα,555960.000000
Πελοπόννησος,574447.000000
Tübingen,1856517.000000
Severozápad,1115685.000000
Sjælland,836738.000000
Comunidad Foral de Navarra,649946.000000
La Rioja,313571.000000
Unterfranken,1317124.000000
Sachsen-Anhalt,2208321.000000
Schleswig-Holstein,2896712.000000
Mittelfranken,1770401.000000
Ankara,8427405.000000
Eesti,1330068.000000
Κρήτη,634930.000000
"Aνατολική Μακεδονία, Θράκη",3093015.000000
"Konya, Karaman",2457522.000000
Vzhodna Slovenija,1094435.000000
Niederösterreich,1677542.000000
Wien,1897491.000000
Kärnten,560939.000000
Steiermark,1243052.000000
"Antalya, Isparta, Burdur",5503985.000000
Oberösterreich,1482095.000000
East Yorkshire and Northern Lincolnshire,932645.000000
North Yorkshire,824054.000000
South Yorkshire,1404971.000000
West Yorkshire,2324560.000000
Derbyshire and Nottinghamshire,2210381.000000
"Leicestershire, Rutland and Northamptonshire",1843764.000000
Střední Morava,1215413.000000
Düsseldorf,5202321.000000
"Kayseri, Sivas, Yozgat",2461269.000000
Prov. Liège,1110068.000000
Prov. Luxembourg (BE),286685.000000
Prov. Namur,496891.000000
Ήπειρος,333696.000000
Észak-Magyarország,1126360.000000
Ísland,356991.000000
Molise,303790.000000
Extremadura,1065424.000000
Veneto,4884590.000000
Friuli-Venezia Giulia,1210414.000000
Северозападен,742304.000000
Северен централен,784168.000000
Åland,62006.293200
Helsinki-Uusimaa,1671024.000000
Emilia-Romagna,4459453.000000
Koblenz,1495885.000000
Övre Norrland,520651.000000
Auvergne,3582497.000000
Mecklenburg-Vorpommern,1609675.000000
Provence-Alpes-Côte d’Azur,5116360.000000
Centre — Val de Loire,2567768.000000
Flevoland,416546.000000
Utrecht,1306912.000000
Noord-Holland,2853359.000000
Zuid-Holland,3709139.000000
Zeeland,383032.000000
Noord-Brabant,2544806.000000
Θεσσαλία,718640.000000
Kassel,1219823.000000
Guadeloupe,417161.000000
Gelderland,2071972.000000
Braunschweig,1596396.000000
Nordjylland,2552112.000000
Limburg (NL),1116137.000000
Североизточен,929035.000000
Югоизточен,1032079.000000
Trier,531007.000000
Rheinhessen-Pfalz,2057952.000000
Észak-Alföld,1450960.000000
Dél-Alföld,1237101.000000
Lazio,5773076.000000
Northern and Western,867947.000000
Saarland,990509.000000
Sardegna,1622257.000000
Provincia Autonoma di Bolzano/Bozen,530313.000000
Provincia Autonoma di Trento,543721.000000
Eastern and Midland,2411912.000000
Liguria,1532980.000000
Lombardia,10010833.000000
Toscana,3701343.000000
Umbria,873744.000000
Marche,1520321.000000
Martinique,364413.000000
Jug,878527.000000
Burgenland,293433.000000
Ιόνια Νησιά,203869.000000
Δυτική Ελλάδα,655189.000000
Pays de la Loire,3849977.000000
Bretagne,3347004.000000
Jadranska Hrvatska,1374071.000000
Rhône-Alpes,6660101.000000
Guyane,282107.000000
La Réunion,856547.000000
Mayotte,269186.000000
Panonska Hrvatska,1046327.000000
Principado de Asturias,1022205.000000
Bourgogne,1623815.000000
Franche-Comté,1177762.000000
Basse-Normandie,1467715.000000
Haute-Normandie,1853117.000000
Cataluña,7566431.000000
Castilla y León,2407733.000000
Moravskoslezsko,1203299.000000
Югозападен,2102205.000000
Dresden,1598199.000000
Chemnitz,1436445.000000
Aττική,3736737.000000
Campania,5740291.000000
Köln,4468904.000000
Münster,2623619.000000
Detmold,2055310.000000
Arnsberg,2846332.000000
Δυτική Μακεδονία,267008.000000
Hamburg,1841179.000000
Ile-de-France,12252917.000000
Comunitat Valenciana,4974969.000000
Cantabria,581641.000000
País Vasco,2177880.000000
Brandenburg,2511917.000000
Bremen,682986.000000
Luxembourg,613894.000000
Latvija,1919968.000000
Црна Гора,622182.000000
Северна Македонија,2077132.000000
Corse,342256.000000
Южен централен,1410248.000000
Région lémanique,1642580.000000
Stuttgart,4143418.000000
Νότιο Αιγαίο,344027.000000
Piemonte,4328565.000000
Valle d’Aosta/Vallée d’Aoste,125653.000000
Malta,493559.000000
Groningen,583990.000000
Friesland (NL),647672.000000
Drenthe,492167.000000
Overijssel,1156431.000000
Darmstadt,3998724.000000
Gießen,1047262.000000
Illes Balears,1188220.000000
Languedoc-Roussillon,2847554.000000
Hannover,2149805.000000
Lüneburg,1710914.000000
Prov. West-Vlaanderen,1196995.000000
Prov. Brabant Wallon,404270.000000
Länsi-Suomi,1379749.000000
