shapeName,Target Area
Tunis,1056247.000000
Ben Arous,631842.000000
El Kef,243156.000000
Sousse,674971.000000
Sfax,955421.000000
Jendouba,401477.000000
Kairouan,570559.000000
Kasserine,439243.000000
Mahdia,410812.000000
Manouba,379518.000000
Sidi Bouzid,429912.000000
Kébili,156961.000000
Béja,303032.000000
Tataouine,149453.000000
Gabès,374300.000000
Bizerte,568219.000000
Ariana,576088.000000
Nabeul,787920.000000
Monastir,548828.000000
Siliana,223087.000000
Zaghouan,176945.000000
Gafsa,337331.000000
Médenine,479520.000000
Tozeur,107912.000000
