RGN23NM,Target Area
North East,2683040.000000
North West,7516113.000000
Yorkshire and The Humber,5541262.000000
East Midlands,4934939.000000
West Midlands,6021653.000000
East of England,6398497.000000
London,8866180.000000
South East,9379833.000000
South West,5764881.000000
