NAME_1,Target Area
Adygey,439996.000000
Altay,2419755.000000
Amur,830103.000000
Arkhangel'sk,1227626.000000
Astrakhan',1010073.000000
Bashkortostan,4072292.000000
Belgorod,1532526.000000
Bryansk,1278217.000000
Buryat,972021.000000
Chechnya,1268989.000000
Chelyabinsk,3476217.000000
Chukot,50526.000000
Chuvash,1251619.000000
City of St. Petersburg,4879566.000000
Dagestan,2910249.000000
Gorno-Altay,206168.000000
Ingush,412529.000000
Irkutsk,2428750.000000
Ivanovo,1061651.000000
Kabardin-Balkar,859939.000000
Kaliningrad,941873.000000
Kalmyk,289481.000000
Kaluga,1010930.000000
Kamchatka,322079.000000
Karachay-Cherkess,477859.000000
Karelia,643548.000000
Kemerovo,2763135.000000
Khabarovsk,1343869.000000
Khakass,532403.000000
Khanty-Mansiy,1272468.000000
Kirov,1341312.000000
Komi,901189.000000
Kostroma,667562.000000
Krasnodar,5226647.000000
Krasnoyarsk,2828187.000000
Kurgan,910807.000000
Kursk,1127081.000000
Leningrad,1716868.000000
Lipetsk,1173513.000000
Magadan,156996.000000
Mariy-El,696459.000000
Mordovia,834755.000000
Moscow City,11503501.000000
Moskva,7095120.000000
Murmansk,795409.000000
Nenets,42090.000000
Nizhegorod,3310597.000000
North Ossetia,712980.000000
Novgorod,634111.000000
Novosibirsk,2665911.000000
Omsk,1977665.000000
Orel,786935.000000
Orenburg,2033072.000000
Penza,1386186.000000
Perm',2635276.000000
Primor'ye,1956497.000000
Pskov,673423.000000
Rostov,4277976.000000
Ryazan',1154114.000000
Sakha,958528.000000
Sakhalin,497973.000000
Samara,3215532.000000
Saratov,2521892.000000
Smolensk,985537.000000
Stavropol',2786281.000000
Sverdlovsk,4297747.000000
Tambov,1091994.000000
Tatarstan,3786488.000000
Tomsk,1047394.000000
Tula,1553925.000000
Tuva,307930.000000
Tver',1353392.000000
Tyumen',1537416.000000
Udmurt,1521420.000000
Ul'yanovsk,1292799.000000
Vladimir,1443693.000000
Volgograd,2610161.000000
Vologda,1202444.000000
Voronezh,2335380.000000
Yamal-Nenets,522904.000000
Yaroslavl',1272468.000000
Yevrey,176558.000000
Zabaykal'ye,1107107.000000
