shapeName,Target Area
External Territories,5100.000000
Australian Capital Territory,453324.000000
New South Wales,8095430.000000
Northern Territory,249345.000000
Queensland,5265043.000000
South Australia,1806599.000000
Tasmania,569827.000000
Victoria,6559941.000000
Western Australia,2762234.000000
