AFFGEOID,Target Area
0500000US20067,32926.061900
0500000US12119,129752.000000
0500000US51131,32926.061900
0500000US48387,32926.061900
0500000US48377,32926.061900
0500000US31009,32926.061900
0500000US54033,65921.000000
0500000US01041,32926.061900
0500000US46055,32926.061900
0500000US46123,32926.061900
0500000US37131,32926.061900
0500000US51017,32926.061900
0500000US12073,292198.000000
0500000US30069,32926.061900
0500000US21063,25447.031802
0500000US55019,34659.000000
0500000US16005,87018.000000
0500000US45073,78607.000000
0500000US51081,32553.902898
0500000US08023,32926.061900
0500000US31005,32926.061900
0500000US22043,32926.061900
0500000US13313,102864.000000
0500000US30099,32926.061900
0500000US21229,32926.061900
0500000US22057,97557.000000
0500000US31103,32926.061900
0500000US28131,32926.061900
0500000US48501,32926.061900
0500000US56013,39234.000000
0500000US24025,260924.000000
0500000US06023,136463.000000
0500000US20069,32926.061900
0500000US13019,32926.061900
0500000US37053,31895.373439
0500000US13319,32926.061900
0500000US47065,366207.000000
0500000US16013,32926.061900
0500000US47097,32926.061900
0500000US06043,32926.061900
0500000US22099,51767.000000
0500000US21089,35962.000000
0500000US21071,35942.000000
0500000US49023,32926.061900
0500000US08091,32926.061900
0500000US38053,32926.061900
0500000US24015,103725.000000
0500000US13263,32926.061900
0500000US21107,45423.000000
0500000US48193,32926.061900
0500000US48389,32926.061900
0500000US13315,32926.061900
0500000US13229,32926.061900
0500000US47049,32926.061900
0500000US12047,32926.061900
0500000US53041,82149.000000
0500000US08001,519572.000000
0500000US13265,21364.055031
0500000US13311,28003.000000
0500000US26141,32926.061900
0500000US40013,46067.000000
0500000US05093,40685.000000
0500000US47187,247726.000000
0500000US48227,34860.000000
0500000US01107,32926.061900
0500000US47009,135280.000000
0500000US41005,421401.000000
0500000US22075,32926.061900
0500000US48267,32926.061900
0500000US37103,32926.061900
0500000US16069,42090.000000
0500000US29019,183610.000000
0500000US48015,32926.061900
0500000US22123,32926.061900
0500000US37085,133568.000000
0500000US13249,18215.303971
0500000US30085,32926.061900
0500000US13075,25211.788977
0500000US51137,36254.000000
0500000US51187,40727.000000
0500000US21011,31252.313939
0500000US48207,32926.061900
0500000US48383,32926.061900
0500000US47119,100974.000000
0500000US08111,32926.061900
0500000US48301,32926.061900
