name,Target Area
Afghanistan,34124811.000000
Åland,41878.006974
Albania,3047987.000000
Algeria,40969443.000000
American Samoa,51504.000000
Andorra,85702.000000
Angola,29310273.000000
Anguilla,17087.000000
Antigua and Barb.,94731.000000
Argentina,44293293.000000
Armenia,3045191.000000
Aruba,115120.000000
Ashmore and Cartier Is.,149.792411
Australia,23232413.000000
Austria,8754413.000000
Azerbaijan,9961396.000000
Bahamas,698149.286421
Bahrain,1410942.000000
Bangladesh,157826578.000000
Barbados,292336.000000
Belarus,9549747.000000
Belgium,11491346.000000
Belize,740534.709400
Benin,11038805.000000
Bermuda,70864.000000
Bhutan,758288.000000
Bolivia,11138234.000000
Bosnia and Herz.,3856181.000000
Botswana,2214858.000000
Br. Indian Ocean Ter.,7296.931057
Brazil,207353391.000000
British Virgin Is.,35015.000000
Brunei,443593.000000
Bulgaria,7101510.000000
Burkina Faso,20107509.000000
Burundi,11466756.000000
Cabo Verde,560899.000000
Cambodia,16204486.000000
Cameroon,24994885.000000
Canada,35623680.000000
Cayman Is.,58441.000000
Central African Rep.,5625118.000000
Chad,12075985.000000
Chile,17789267.000000
China,1379302771.000000
Colombia,47698524.000000
Comoros,808080.000000
Congo,4954674.000000
Cook Is.,9290.000000
Costa Rica,4930258.000000
Côte d'Ivoire,24184810.000000
Croatia,4292095.000000
Cuba,11147407.000000
Curaçao,149648.000000
Cyprus,1221549.000000
Czechia,10674723.000000
Dem. Rep. Congo,83301151.000000
Denmark,5605948.000000
Djibouti,865267.000000
Dominica,73897.000000
Dominican Rep.,10734247.000000
Ecuador,16290913.000000
Egypt,97041072.000000
El Salvador,6172011.000000
Eq. Guinea,778358.000000
Eritrea,5918919.000000
Estonia,1251581.000000
eSwatini,1467152.000000
Ethiopia,105350020.000000
Faeroe Is.,57068.454586
Falkland Is.,627503.432241
Fiji,920938.000000
Finland,5491218.000000
Fr. Polynesia,287881.000000
Fr. S. Antarctic Lands,384214.524537
France,67106161.000000
Gabon,1772255.000000
Gambia,2051363.000000
Georgia,4926330.000000
Germany,80594017.000000
Ghana,27499924.000000
Greece,10768477.000000
Greenland,740534.709400
Grenada,111724.000000
Guam,167358.000000
Guatemala,15460732.000000
Guernsey,66502.000000
Guinea,12413867.000000
Guinea-Bissau,1792338.000000
Guyana,740534.709400
Haiti,10646714.000000
Heard I. and McDonald Is.,23067.944761
Honduras,9038741.000000
Hong Kong,7191503.000000
Hungary,9850845.000000
Iceland,740534.709400
India,1281935911.000000
Indian Ocean Ter.,7918.983168
Indonesia,260580739.000000
Iran,82021564.000000
Iraq,39192111.000000
Ireland,5011102.000000
Isle of Man,88815.000000
Israel,8299706.000000
Italy,62137802.000000
Jamaica,2990561.000000
Japan,126451398.000000
Jersey,98840.000000
Jordan,10248069.000000
Kazakhstan,18556698.000000
Kenya,47615739.000000
Kiribati,108145.000000
Kosovo,1895250.000000
Kuwait,2875422.000000
Kyrgyzstan,5789122.000000
Laos,7126706.000000
Latvia,1944643.000000
Lebanon,6229794.000000
Lesotho,1958042.000000
Liberia,4689021.000000
Libya,6653210.000000
Liechtenstein,38244.000000
Lithuania,2823859.000000
Luxembourg,594130.000000
Macao,601969.000000
Macedonia,2103721.000000
Madagascar,25054161.000000
Malawi,19196246.000000
Malaysia,31381992.000000
Maldives,392709.000000
Mali,17885245.000000
Malta,416338.000000
Marshall Is.,74539.000000
Mauritania,3758571.000000
Mauritius,1356388.000000
Mexico,124574795.000000
Micronesia,104196.000000
Moldova,3474121.000000
Monaco,30645.000000
Mongolia,3068243.000000
Montenegro,740534.709400
Montserrat,5292.000000
Morocco,33986655.000000
Mozambique,26573706.000000
Myanmar,55123814.000000
N. Cyprus,265100.000000
N. Mariana Is.,52263.000000
Namibia,2484780.000000
Nauru,9642.000000
Nepal,29384297.000000
Netherlands,17084719.000000
New Caledonia,740534.709400
New Zealand,4510327.000000
Nicaragua,6025951.000000
Niger,19245344.000000
Nigeria,190632261.000000
Niue,10855.787487
Norfolk Island,2267.410087
North Korea,25248140.000000
Norway,5320045.000000
Oman,3424386.000000
Pakistan,204924861.000000
Palau,21431.000000
Palestine,4543126.000000
Panama,3753142.000000
Papua New Guinea,6909701.000000
Paraguay,6943739.000000
Peru,31036656.000000
Philippines,104256076.000000
Pitcairn Is.,2131.451988
Poland,38476269.000000
Portugal,10839514.000000
Puerto Rico,3351827.000000
Qatar,2314307.000000
Romania,21529967.000000
Russia,142257519.000000
Rwanda,11901484.000000
S. Geo. and the Is.,202158.955379
S. Sudan,13026129.000000
Saint Helena,10241.576991
Saint Lucia,164994.000000
Samoa,200108.000000
San Marino,33537.000000
São Tomé and Principe,201025.000000
Saudi Arabia,28571770.000000
Senegal,14668522.000000
Serbia,7111024.000000
Seychelles,93920.000000
Siachen Glacier,116800.904230
Sierra Leone,6163195.000000
Singapore,5888926.000000
Sint Maarten,42083.000000
Slovakia,5445829.000000
Slovenia,1972126.000000
Solomon Is.,740534.709400
Somalia,7531386.000000
Somaliland,3500000.000000
South Africa,54841552.000000
South Korea,51181299.000000
Spain,48958159.000000
Sri Lanka,22409381.000000
St-Barthélemy,7184.000000
St-Martin,32125.000000
St. Kitts and Nevis,52715.000000
St. Pierre and Miquelon,11313.156479
St. Vin. and Gren.,102089.000000
Sudan,37345935.000000
Suriname,740534.709400
Sweden,9960487.000000
Switzerland,8236303.000000
Syria,18028549.000000
Taiwan,23508428.000000
Tajikistan,8468555.000000
Tanzania,53950935.000000
Thailand,68414135.000000
Timor-Leste,1291358.000000
Togo,7965055.000000
Tonga,106479.000000
Trinidad and Tobago,1218208.000000
Tunisia,11403800.000000
Turkey,80845215.000000
Turkmenistan,5351277.000000
Turks and Caicos Is.,52570.000000
U.S. Virgin Is.,107268.000000
Uganda,39570125.000000
Ukraine,44033874.000000
United Arab Emirates,6072475.000000
United Kingdom,64769452.000000
United States of America,326625791.000000
Uruguay,3360148.000000
Uzbekistan,29748859.000000
Vanuatu,622323.259603
Vatican,1000.000000
Venezuela,31304016.000000
Vietnam,96160163.000000
W. Sahara,740534.709400
Wallis and Futuna Is.,15714.000000
Yemen,28036829.000000
Zambia,15972000.000000
Zimbabwe,13805084.000000
