shapeName,Target Area
Glarus,2891.240570
Luzern,28304.317650
Bern,82365.698440
Aargau,44509.245370
Basel-Landschaft,20816.191970
Zug,20308.514130
Obwalden,2630.101900
Nidwalden,3025.567780
Grisons,14937.000480
Appenzell Ausserrhoden,3254.509150
Appenzell Innerrhoden,1046.879680
Valais/Wallis,19819.033230
Sankt Gallen,38961.856930
Ticino,30990.053710
Schwyz,9954.680400
Zurich,155290.741800
Thurgau,17358.083060
Uri,2000.810650
Schaffhausen,7293.680990
Jura,5098.257170
Fribourg,19459.656480
Basel-City,38316.716380
Solothurn,18620.632810
Geneva,54591.221220
Neuchâtel,16398.466800
Vaud,58635.431050
