Group,F4Carto_time,5FCarto_time,flow_based_time,F4Carto_max_relative_area_error_at_time,5FCarto_max_relative_area_error_at_time,flow_based_max_relative_area_error_at_time
Group 1,0.29625,0.305,0.57725,0.38525,0.18075,0.192125
Group 2,0.616625,0.446625,0.5185000000000001,0.369375,0.212625,0.218
Group 3,1.219125,0.65225,0.791,5.072375,4.27175,3.153625
Group 4,3.736625,1.349625,1.822,39.747375,30.846999999999998,31.101625
