map_name,time
egypt_population_by_governate_2017,0.9360000000000004
algeria_population_by_wilaya_2022,0.9950000000000002
austria_population_by_state_2020,0.22799999999999998
usa_population_by_state_2020,0.523
russia_population_by_federal_subject_2010,1.5750000000000004
metropolitan_france_population_by_departement_2022,0.458
croatia_covid_cases_by_county_2022,0.29000000000000004
brazil_population_by_state_2021,0.5429999999999999
belgium_population_by_region_2022,0.09899999999999999
switzerland_gdp_in_billion_chf_by_canton_2019,0.41900000000000015
world_population_by_country_2010,3.3870000000000005
tunisia_population_by_governate_2014,0.29400000000000004
japan_population_by_prefecture_2020,0.5159999999999999
csv_ne50_antimeridian_minus169_brewer_pop,5.021999999999999
bahamas_population_by_district_2010,1.136
singapore_population_by_planning_area_2015,1.843
usa_population_by_county_2021,38.66599999999999
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,4.1240000000000006
vietnam_population_by_province_2019,0.28500000000000003
conterminous_usa_population_by_state_2020,0.359
NUTS_population_by_region_2020,3.9570000000000007
france_population_by_metropolitan_region_2008,0.274
switzerland_population_by_canton_2016,0.30700000000000005
malaysia_population_by_state_2020,0.215
simplified_belgium_population_by_region_2022,0.11400000000000002
indonesia_population_by_province_2024,0.38299999999999995
england_population_by_region_2022,0.202
australia_population_by_state_and_territory_2021,0.4689999999999999
china_population_by_province_2020,0.7270000000000002
croatia_population_by_county_2021,0.27899999999999997
germany_population_by_state_2011,0.29000000000000004
NUTS_population_by_country_2021,1.2790000000000001
