map_name,time
egypt_population_by_governate_2017,0.9330000000000003
algeria_population_by_wilaya_2022,1.1569999999999996
austria_population_by_state_2020,0.226
usa_population_by_state_2020,0.509
russia_population_by_federal_subject_2010,1.293
metropolitan_france_population_by_departement_2022,0.4649999999999999
croatia_covid_cases_by_county_2022,0.32200000000000006
brazil_population_by_state_2021,0.5479999999999999
belgium_population_by_region_2022,0.10299999999999998
switzerland_gdp_in_billion_chf_by_canton_2019,0.42500000000000016
world_population_by_country_2010,3.6330000000000005
tunisia_population_by_governate_2014,0.3320000000000001
japan_population_by_prefecture_2020,0.4839999999999999
csv_ne50_antimeridian_minus169_brewer_pop,4.898999999999999
bahamas_population_by_district_2010,0.9830000000000001
singapore_population_by_planning_area_2015,1.8720000000000003
usa_population_by_county_2021,36.37200000000001
csv_wo_antarctica_ne50_antimeridian_minus169_brewer_pop,3.66
vietnam_population_by_province_2019,0.277
conterminous_usa_population_by_state_2020,0.373
NUTS_population_by_region_2020,4.088000000000001
france_population_by_metropolitan_region_2008,0.28900000000000003
switzerland_population_by_canton_2016,0.32200000000000006
malaysia_population_by_state_2020,0.213
simplified_belgium_population_by_region_2022,0.10300000000000002
indonesia_population_by_province_2024,0.322
england_population_by_region_2022,0.20800000000000002
australia_population_by_state_and_territory_2021,0.44299999999999995
china_population_by_province_2020,0.7170000000000001
croatia_population_by_county_2021,0.20400000000000001
germany_population_by_state_2011,0.30700000000000005
NUTS_population_by_country_2021,1.3810000000000002
