mapname,F4Carto_n_iter,5FCarto_n_defeated,flow_based_n_defeated,F4Carto_min_relative_area_error_reached,5FCarto_max_relative_area_error_at_n,flow_based_max_relative_area_error_at_n,F4Carto_time,5FCarto_time_at_n,flow_based_time_at_n,5FCarto_final_error,flow_based_final_error,5FCarto_total_time,flow_based_total_time
algeria_population_by_wilaya_2022,6,7,7,0.302338,0.1071906310711905,0.1210863469935317,1.6304,0.499,0.3810000000000001,0.00931429393904359,0.00632805143680492,0.6280000000000001,0.4560000000000002
australia_population_by_state_and_territory_2021,3,1,1,0.845114,0.7175302759654755,0.7218215104175346,0.2021,0.117,0.075,0.00205147029479424,0.00905416710686646,0.376,0.174
austria_population_by_state_2020,5,1,1,0.438313,0.1995718500172283,0.1986784221690658,0.2493,0.08399999999999999,0.064,0.0021587116232542,0.00284952814480798,0.16899999999999998,0.09799999999999999
bahamas_population_by_district_2010,10,5,5,6.27002,4.739735701781254,5.329862944580023,1.7667,0.367,0.42200000000000004,0.00711895165300724,0.00761117906919728,0.9670000000000004,1.15
belgium_population_by_region_2022,3,0,0,0.378991,0.3572928443739296,0.3569801629130442,0.1174,0.043,0.037,0.00550040127089856,0.00597726919502572,0.072,0.059
brazil_population_by_state_2021,5,3,3,0.313994,0.1862312009856042,0.1478111053293183,0.6868,0.20400000000000001,0.16399999999999998,0.00953476359613869,0.00763670723872222,0.29500000000000004,0.22099999999999995
china_population_by_province_2020,10,3,3,0.975881,0.7427869467692634,0.6669864002361854,1.5859999999999999,0.26,0.20299999999999999,0.00431979876353916,0.00713047079222217,0.3920000000000001,0.316
conterminous_usa_population_by_state_2020,5,2,2,0.437851,0.3731856559679182,0.4307945368036931,0.5644,0.126,0.08900000000000001,0.0058873476134722,0.00725267521798111,0.255,0.16100000000000003
croatia_covid_cases_by_county_2022,4,2,2,0.261069,0.1274887323338485,0.1298817945252275,0.44510000000000005,0.077,0.065,0.00464032347190357,0.00808750979818762,0.181,0.09699999999999999
croatia_population_by_county_2021,7,2,2,0.293127,0.08954370935119238,0.0895257754515304,0.7443,0.071,0.064,0.00886674520066166,0.00976605233026939,0.11599999999999999,0.087
csv_ne50_antimeridian_minus169_brewer_pop,10,3,3,229.92,221.6578082325009,219.9453604625002,4.5073,0.5519999999999999,0.403,0.00639559862955785,0.00826919683036175,5.234000000000001,2.903
