round, minRit, maxRit, error, mean_quadratic_error, simple_mean_error, weighted_mean_error, elasticity, maxDisplacement, time
53, 0.237528, 0.009713, 0.000620, 0.025997, 0.010901, 0.003263, 1.050000, 0.000000, 0.4954 Second
54, 0.238100, 0.009572, 0.000619, 0.025965, 0.010834, 0.003214, 1.050000, 0.000000, 0.4830 Second
55, 0.238613, 0.009408, 0.000616, 0.025915, 0.010766, 0.003169, 1.050000, 0.000000, 0.4782 Second
56, 0.239052, 0.009292, 0.000616, 0.025908, 0.010741, 0.003133, 1.050000, 0.000000, 0.4878 Second
57, 0.239433, 0.009486, 0.000615, 0.025881, 0.010687, 0.003094, 2.498374, 0.000000, 0.6314 Second
58, 0.228066, 0.009398, 0.000584, 0.025187, 0.010472, 0.003052, 1.050000, 0.000000, 0.5100 Second
59, 0.228522, 0.009333, 0.000582, 0.025143, 0.010425, 0.003015, 1.050000, 0.000000, 0.5318 Second
60, 0.229132, 0.009265, 0.000580, 0.025114, 0.010376, 0.002977, 3.132953, 0.000000, 0.6648 Second
61, 0.220550, 0.009552, 0.000557, 0.024572, 0.010204, 0.002943, 1.050000, 0.000000, 0.5324 Second
62, 0.220694, 0.009434, 0.000554, 0.024516, 0.010155, 0.002912, 1.050000, 0.000000, 0.5306 Second
63, 0.220818, 0.009338, 0.000552, 0.024473, 0.010102, 0.002882, 1.050000, 0.000000, 0.5216 Second
64, 0.220832, 0.009270, 0.000550, 0.024421, 0.010051, 0.002852, 1.050000, 0.000000, 0.5310 Second
65, 0.220483, 0.009233, 0.000547, 0.024349, 0.009997, 0.002821, 1.050000, 0.000000, 0.5454 Second
66, 0.220112, 0.009225, 0.000544, 0.024286, 0.009952, 0.002794, 1.050000, 0.000000, 0.5444 Second
67, 0.219721, 0.009271, 0.000542, 0.024239, 0.009907, 0.002767, 1.886612, 0.000000, 0.6746 Second
68, 0.216870, 0.009489, 0.000533, 0.024039, 0.009813, 0.002742, 1.050000, 0.000000, 0.5505 Second
69, 0.216505, 0.009560, 0.000532, 0.023997, 0.009774, 0.002715, 1.050000, 0.000000, 0.5542 Second
70, 0.216132, 0.009639, 0.000529, 0.023944, 0.009737, 0.002690, 1.842113, 0.000000, 0.6862 Second
71, 0.214194, 0.009596, 0.000524, 0.023815, 0.009657, 0.002662, 2.101691, 0.000000, 1.1601 Second
72, 0.213585, 0.009657, 0.000522, 0.023776, 0.009645, 0.002658, 2.025600, 0.000000, 1.1827 Second
73, 0.212834, 0.009708, 0.000520, 0.023730, 0.009632, 0.002657, 1.050000, 0.000000, 0.5686 Second
74, 0.212453, 0.009909, 0.000519, 0.023699, 0.009606, 0.002636, 1.050000, 0.000000, 0.5671 Second
75, 0.212048, 0.010095, 0.000517, 0.023650, 0.009578, 0.002616, 1.050000, 0.000000, 0.5700 Second
76, 0.211689, 0.010246, 0.000515, 0.023609, 0.009547, 0.002594, 1.050000, 0.000000, 0.5719 Second
77, 0.211367, 0.010302, 0.000511, 0.023519, 0.009508, 0.002575, 1.050000, 0.000000, 0.5757 Second
78, 0.211040, 0.010354, 0.000510, 0.023479, 0.009476, 0.002554, 1.050000, 0.000000, 0.5819 Second
79, 0.210693, 0.010417, 0.000507, 0.023424, 0.009444, 0.002535, 1.050000, 0.000000, 0.5820 Second
80, 0.210324, 0.010480, 0.000504, 0.023339, 0.009407, 0.002516, 1.050000, 0.000000, 0.5938 Second
81, 0.209953, 0.009494, 0.000501, 0.023276, 0.009363, 0.002498, 1.050000, 0.000000, 0.5706 Second
82, 0.209591, 0.008885, 0.000499, 0.023216, 0.009319, 0.002479, 1.050000, 0.000000, 0.5757 Second
83, 0.209242, 0.008889, 0.000499, 0.023229, 0.009295, 0.002457, 1.050000, 0.000000, 0.5890 Second
