parameter_qlcf,mean,min,max,median,std,sum
9,1.5134109246483225,0.10879694896769232,7.304264224960001,0.7957146073800001,1.876104013420666,46.915738664098
10,1.55829995184448,0.10922852589076924,10.14541332496,0.6917595818200001,2.248801317070326,48.307298507178885
8,1.6812654677236853,0.11052099211,8.29196417496,0.8084180491799999,2.185951678794353,52.11922949943424
11,1.8783892965118612,0.10879067848769228,12.15746789156,0.8621438610200001,2.6398402404983634,58.2300681918677
7,2.217614372290666,0.10923783035230768,13.27150923326,0.80329074508,3.3907598334866678,68.74604554101064
12,2.391564751637419,0.27992851658,16.625737044240005,0.90136612346,3.9570244143045628,74.13850730076
15,3.0325440585061694,0.25938887945272737,12.87114403928,1.11510324672,3.4562488827660802,84.91123363817275
6,3.047946324220431,0.08307254388727274,20.953052287559995,0.8059927198800001,5.536997699452938,94.48633605083334
14,3.3749562031227587,0.34549159998,12.13888285748,0.9580664973800002,3.740607651800157,97.87372989056001
13,3.9081095233019356,0.30251469606,31.29008173756,0.88317892762,6.56947432806306,121.15139522236001
5,4.127036598014839,0.4035086207800001,24.0772088659,1.07728101758,7.281267400206294,127.93813453846
