command,mean,stddev,median,user,system,min,max,parameter_qlcf
algeria_by_wilaya_since_2019-5,2.5219358516,0.02921637146979776,2.511465293,2.48555104,0.028802279999999996,2.4881508350000003,2.568573627,5
algeria_by_wilaya_since_2019-6,1.6832353143000003,0.013068073623109957,1.6797981060000002,1.6570908399999997,0.022490879999999998,1.66659046,1.7150346680000002,6
algeria_by_wilaya_since_2019-7,2.0400825474000004,0.020033855610561566,2.0374042725,2.0110125400000003,0.02334808,2.01625821,2.080166585,7
algeria_by_wilaya_since_2019-8,1.4015609808,0.016373717227682338,1.3952290225000001,1.3797030399999997,0.018508279999999995,1.390219085,1.4459504600000002,8
algeria_by_wilaya_since_2019-9,1.2924766475000002,0.015395306632573668,1.2866211475000002,1.2665782399999999,0.020397480000000003,1.2774547520000001,1.320821043,9
algeria_by_wilaya_since_2019-10,0.9145984809999999,0.013512018777883028,0.9093723145,0.89475824,0.01659238,0.904306877,0.949225377,10
algeria_by_wilaya_since_2019-11,0.8868772099000001,0.016563739210536235,0.883553772,0.86744684,0.01572338,0.868741377,0.9167622510000001,11
algeria_by_wilaya_since_2019-12,0.8388758015999999,0.01573395833178296,0.8328636475,0.8185706399999999,0.017160379999999996,0.824915668,0.873167918,12
algeria_by_wilaya_since_2019-13,0.7823935642,0.005325530356419681,0.7811290435,0.76752474,0.013726579999999999,0.77724146,0.792860169,13
algeria_by_wilaya_since_2019-14,0.8173653141000001,0.017659225951847532,0.809861752,0.7961177399999999,0.01805378,0.801006418,0.850218043,14
algeria_by_wilaya_since_2019-15,0.8127319764000001,0.018889057884737083,0.8059088974999999,0.79173034,0.01761208,0.801997668,0.862217001,15
australia_by_state_and_territory_since_1942-5,1.07728101758,0.012555313156986662,1.07207230078,1.0509341799999998,0.02297708,1.06191602928,1.1001089052800002,5
australia_by_state_and_territory_since_1942-6,0.75860800498,0.014842562083063511,0.75461528028,0.7346143799999999,0.02052048,0.74311069728,0.79615619628,6
australia_by_state_and_territory_since_1942-7,0.75418509678,0.005609817147075347,0.75497884228,0.7331790799999999,0.019500479999999997,0.74739278028,0.7649361972800001,7
australia_by_state_and_territory_since_1942-8,0.76696193828,0.020271955698785944,0.75924780078,0.7389091799999999,0.02207088,0.74624457128,0.81441469628,8
australia_by_state_and_territory_since_1942-9,0.7551376174800001,0.008716087257906967,0.75378450928,0.73431548,0.01931898,0.74444969628,0.77500307128,9
australia_by_state_and_territory_since_1942-10,0.7233474882799998,0.014450565331009737,0.71966040528,0.6993363799999999,0.02051808,0.70753957128,0.75996469628,10
australia_by_state_and_territory_since_1942-11,0.72359342578,0.011986651721431601,0.7224739462800001,0.7022515799999999,0.01997028,0.70969836328,0.75251719628,11
australia_by_state_and_territory_since_1942-12,0.79616738848,0.023218243196205843,0.78617523828,0.7671442799999999,0.02359128,0.77934173828,0.84228986328,12
australia_by_state_and_territory_since_1942-13,0.80778808838,0.010949196423122025,0.8043249887799999,0.7843022799999999,0.022117179999999997,0.79798290428,0.8359109462800001,13
australia_by_state_and_territory_since_1942-14,0.8929072800799999,0.01828069347647884,0.88780832178,0.8650048799999999,0.024452880000000003,0.87867365528,0.93927169728,14
australia_by_state_and_territory_since_1942-15,0.89212630488,0.016337451489820028,0.8885299252800001,0.86390508,0.024440780000000002,0.87445240528,0.93142098828,15
austria_by_state_since_1945-5,0.52161376588,0.010947749546889568,0.5184075073800001,0.5079138799999999,0.010232159999999999,0.51308098738,0.55177736138,5
austria_by_state_since_1945-6,0.26383542619818184,0.00198854733316176,0.26323711238,0.2545559618181818,0.008074496363636365,0.26133219538,0.26676236238,6
austria_by_state_since_1945-7,0.2830501617800001,0.009854430390639003,0.27971838238,0.27047777999999995,0.008807659999999998,0.27583869538000005,0.30660473638,7
austria_by_state_since_1945-8,0.27980427438000005,0.0031812908106896563,0.27899469488000006,0.27003657999999997,0.00835266,0.27551644538000003,0.28486607038000006,8
austria_by_state_since_1945-9,0.2790534700799999,0.0013215110600886609,0.27947975788,0.26973287999999995,0.00808516,0.27703173638000006,0.28080969438000003,9
austria_by_state_since_1945-10,0.28202861178,0.011050217224081293,0.27773765388000005,0.26911447999999993,0.00955326,0.27651669538,0.31279611138,10
austria_by_state_since_1945-11,1.09791204908,0.0105331491665439,1.09437873638,1.02203318,0.06830415999999999,1.08973036138,1.12461469538,11
austria_by_state_since_1945-12,1.6426326241799998,0.011243501011565408,1.6398767783800001,1.55117848,0.08437836,1.63093586138,1.66590111138,12
austria_by_state_since_1945-13,3.7296668742800003,0.017226044641978314,3.7251723618800003,3.577996979999999,0.13891296,3.70368573738,3.75357048638,13
austria_by_state_since_1945-14,4.32266094098,0.019590408592028322,4.32745363288,4.153646880000001,0.15424936,4.290822111380001,4.344270611380001,14
austria_by_state_since_1945-15,4.9237088492800005,0.028238011909791742,4.92801052888,4.74588838,0.16345046000000002,4.892799986380001,4.978167320380001,15
bahamas_by_district_since_1999-5,4.182906875879999,0.037126369199947766,4.16822788018,4.058014439999999,0.11049278,4.1470651716799996,4.26232821368,5
bahamas_by_district_since_1999-6,3.248971938380001,0.02614780741172525,3.2448895466800005,3.1520262399999996,0.08631288000000001,3.20902762968,3.2818609636800002,6
