Group,f4carto_frechet distance,5fcarto_frechet distance,flow_based_frechet distance,f4carto_hausdorff distance,5fcarto_hausdorff distance,flow_based_hausdorff distance,f4carto_symmetric difference,5fcarto_symmetric difference,flow_based_symmetric difference
Group 1,0.655,0.3675,0.34,0.27625,0.23625000000000002,0.23375,0.61125,0.47124999999999995,0.46749999999999997
Group 2,0.66125,0.5175,0.515,0.3125,0.31625000000000003,0.31875000000000003,0.675,0.6437499999999999,0.6437499999999999
Group 3,1.0075,1.13875,1.1300000000000001,0.36625,0.395,0.42374999999999996,0.7,0.745,0.74875
Group 4,1.1625,0.905,0.94875,0.3825,0.45625,0.43625,0.66,0.8125,0.8175
