base_map, altered_map,frechet distance,hausdorff distance,symmetric difference
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_3.geojson,1.105,0.321357,0.634292
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_5Fcarto.geojson,0.570206,0.329089,0.715867
japan_population_by_prefecture_2020_input.geojson,japan_population_by_prefecture_2020_flow_based.geojson,0.575196,0.324467,0.716772
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_6.geojson,0.497137,0.323411,0.614074
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_5Fcarto.geojson,0.534642,0.333153,0.595101
malaysia_population_by_state_2020_input.geojson,malaysia_population_by_state_2020_flow_based.geojson,0.531565,0.333463,0.594951
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_3.geojson,0.467524,0.276904,0.567949
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_5Fcarto.geojson,0.506234,0.295318,0.592692
metropolitan_france_population_by_departement_2022_input.geojson,metropolitan_france_population_by_departement_2022_flow_based.geojson,0.508725,0.286997,0.592789
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_9.geojson,1.03478,0.260419,0.742187
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_5Fcarto.geojson,0.324212,0.224453,0.496812
NUTS_population_by_country_2021_input.geojson,NUTS_population_by_country_2021_flow_based.geojson,0.324904,0.224781,0.497388
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_9.geojson,1.09225,0.343246,0.648286
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_5Fcarto.geojson,0.641845,0.395749,0.724174
NUTS_population_by_region_2020_input.geojson,NUTS_population_by_region_2020_flow_based.geojson,0.657168,0.347139,0.730854
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_9.geojson,1.21976,0.371376,0.60425
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_5Fcarto.geojson,0.952492,0.437036,0.908865
russia_population_by_federal_subject_2010_input.geojson,russia_population_by_federal_subject_2010_flow_based.geojson,0.974228,0.429518,0.914984
