Group,F4Carto,5FCarto,Flow Based
Group 1,0.079997555,5.4262150328554526e-15,3.594347042223944e-15
Group 2,0.0679485125,2.5945912085489903e-13,3.559652572704408e-14
Group 3,0.9590861624999999,7.827072323607354e-14,0.09683811021030425
Group 4,9.87072275,8.967381961988432e-09,1.0017544763055684
